problem,method,N,h,l2_error,linf_error,runtime_ms
1D tophat (discontinuous),upwind,512,0.00390625,0.1263776726919268,0.4787695873020162,2.5386810302734375
1D tophat (discontinuous),lax_wendroff,512,0.00390625,0.09879225559577878,0.6071988131902111,4.896402359008789
1D tophat (discontinuous),upwind,256,0.0078125,0.15015436785376854,0.46999487302507437,1.0814666748046875
1D tophat (discontinuous),lax_wendroff,256,0.0078125,0.12233185577156601,0.5907764869337981,2.323627471923828
1D tophat (discontinuous),upwind,128,0.015625,0.17824406178168262,0.4576206739167532,0.5295276641845703
1D tophat (discontinuous),lax_wendroff,128,0.015625,0.15115691782488166,0.5696253088978697,1.1038780212402344
1D tophat (discontinuous),upwind,64,0.03125,0.21122302377455462,0.440220506384994,0.24938583374023438
1D tophat (discontinuous),lax_wendroff,64,0.03125,0.1857823887123668,0.5420324276636798,0.5209445953369141
1D tophat (discontinuous),upwind,32,0.0625,0.25033954783524626,0.4162099686787042,0.12540817260742188
1D tophat (discontinuous),lax_wendroff,32,0.0625,0.23227356901004256,0.5302970398967427,0.2644062042236328
